Df: 2.2
kf: 1.13
n: 200
k: 1
a: 30

Rg: 315.44

X Y Z
0 0 0
23.2397 50.6494 22.2387
14.5644 109.646 15.5945
58.9355 -10.9929 2.3994
91.8674 15.881 -39.9478
-52.2294 20.7056 -21.0562
66.3803 -34.1565 57.2449
43.7777 -79.9143 25.6957
60.7844 110.427 -22.6561
6.55078 -69.0014 71.4676
-45.5654 16.2915 -80.5214
-96.9587 34.9943 16.2952
-7.45682 -5.49466 -121.425
-6.77165 141.232 -30.7422
-119.734 47.3207 -37.8284
-135.404 -4.85962 -6.80479
-135.908 82.6748 7.87153
116.068 -38.7082 23.9217
73.0008 -21.125 115.437
148.553 34.3314 -33.1373
87.321 -79.6937 90.2275
-132.776 -62.2471 10.5092
141.474 93.9046 -32.1706
-109.546 -100.213 -29.7274
-155.49 4.54575 -62.5551
-144.066 -50.1902 -84.3144
-183.823 30.3783 -10.5307
-168.508 77.0604 57.9287
136.14 -83.9382 -10.01
95.7176 157.193 -8.77558
170.816 -35.2915 -15.5813
-90.1803 -156.212 -39.166
165.969 -44.4734 -74.6761
-173.285 96.9131 -36.8519
135.394 -122.651 -55.8439
145.458 -62.5933 -128.07
-152.263 111.75 -91.0547
102.934 2.46598 161.778
102.774 -83.5283 148.076
64.3348 -31.626 192.565
-160.353 -132.12 -30.5139
-168.608 132.485 14.9186
-205.782 33.6063 75.8837
96.4851 57.1428 185.629
-210.969 -3.48077 -83.9474
-225.71 70.7295 4.21057
-158.345 166.851 -68.1018
207.675 25.2764 -28.3908
-231.289 50.5634 -67.6271
176.485 112.143 -77.3548
-228.368 -59.5815 -71.7008
-231.77 106.897 -45.7892
-215.682 55.8559 130.719
197.637 -73.5431 22.0676
-260.863 -1.63881 -50.6726
-216.568 113.678 114.724
-234.456 -8.02556 -138.972
199.59 56.4065 -79.0421
-186.549 207.449 -34.0967
-258.63 77.7277 91.5187
-258.371 98.7749 -98.9531
-283.28 100.972 -15.5956
-239.678 41.1988 -172.879
-263.463 151.63 -70.1714
-238.943 -57.353 -172.835
201.58 -19.1371 47.0566
-290.347 6.06573 -122.309
120.46 -180.404 -49.3928
-190.155 247.092 10.7967
-315.901 34.7502 -76.2201
160.724 16.0677 153.098
-271.41 55.1746 152.944
-313.486 113.638 34.6753
83.1564 -135.113 171.617
198.748 22.5078 107.134
108.658 -167.508 128.026
-245.237 225.714 0.356518
184.346 -126.934 45.9986
-212.227 -97.426 -208.617
230.565 -30.2441 -13.4327
-304.105 156.659 -7.51506
158.57 -115.385 -153.391
-312.982 65.1319 -127.877
101.929 -25.6493 238.944
210.616 -88.3216 83.6669
-252.134 226.34 -59.2425
-322.855 110.727 -90.1459
-268.562 27.5213 206.115
210.215 -122.778 -9.83456
-303.181 31.2374 -176.406
73.5227 -209.8 152.045
-351.072 97.4222 -9.19222
107.481 -235.381 -69.6184
187.45 -176.912 -22.1328
149.862 -223.611 -19.6259
-212.334 268.74 -74.0184
250.152 -54.2367 44.0968
197.755 48.3234 187.568
-235.038 13.6139 253.894
34.1363 -227.802 193.574
-222.882 273.128 53.8205
218.663 -7.03463 177.65
-291.203 -46.9107 -200.401
-277.122 22.4452 -229.732
-329.91 53.0881 166.114
249.803 -48.1516 104.898
-371.862 13.1719 -74.5581
98.4904 -1.54324 293.78
-299.147 77.8666 217.512
256.912 9.41299 120.254
-321.406 -0.889052 206.712
266.228 -76.2822 -27.8774
283.629 -3.1828 -6.23217
210.391 -188.15 -76.4231
272.934 65.4752 106.1
