Df: 2.1
kf: 1.13
n: 100
k: 0.7
a: 30

Rg: 253.646

X Y Z
0 0 0
-15.0139 35.0442 -17.6206
15.3357 -34.6772 18.0641
-29.4801 70.5578 -34.7528
-43.935 105.854 -52.3374
32.3927 -56.2368 -13.6887
71.2752 -48.0908 -27.3191
-55.937 102.6 -12.2205
42.5414 -81.0534 -46.0173
101.074 -56.8178 0.962895
-62.021 84.2211 -83.4646
73.327 -91.3508 -72.6671
104.186 -96.5389 -12.3243
81.6212 -127.659 4.59848
-30.6528 115.167 18.8724
97.8595 -125.11 -67.9297
143.763 -109.063 -5.93606
83.5704 -163.902 -60.5093
-81.0906 87.2857 -46.1184
-77.8458 98.5467 23.3825
128.796 -147.729 -12.6379
160.85 -132.886 -36.0113
191.987 -105.445 -42.4543
-27.2406 115.624 60.7311
-52.0035 95.7137 88.1974
-11.5321 122.599 99.0532
-118.185 95.8792 34.7685
192.149 -86.5679 -79.9726
23.0496 144.682 108.023
218.164 -84.2115 -17.3968
-87.4842 118.149 89.5267
164.401 -167.05 -1.54722
-114.322 133.285 16.0637
-77.82 115.637 130.322
181.484 -111.44 -112.092
-140.655 103.697 69.3804
245.648 -52.8634 -22.4881
253.607 -56.6292 18.5787
-82.8349 159.632 94.172
218.045 -130.823 -63.4528
-133.147 100.017 110.54
186.467 -183.137 30.3639
-151.466 64.1516 122.462
161.49 -204.529 56.4897
223.33 -163.829 -38.0225
285.47 -45.634 -33.7124
253.361 -124.519 -85.2933
-130.959 147.227 52.0196
141.46 -240.404 65.1936
-135.638 59.477 161.083
289.748 -77.2026 -61.0824
192.546 -225.673 75.262
-124.49 151.245 93.3233
281.164 -96.6216 -99.8802
263.271 -165.016 -80.2129
-148.763 149.658 -1.53647
-73.1717 195.889 113.042
-171.409 136.688 47.9236
-139.068 187.256 42.2272
-159.437 145.317 115.852
-137.554 190.991 97.0106
134.164 -269.295 35.5954
-169.812 184.13 9.97747
-207.61 133.082 68.9111
-139.663 228.479 34.2054
120.116 -265.67 91.0787
291.095 -59.0546 -115.821
319.39 -82.4776 -31.7985
-115.977 242.961 65.7207
-179.792 200.425 -27.4239
-236.788 128.696 39.0216
307.561 -121.35 -21.1686
319.314 -32.3914 -99.7973
103.481 -275.905 128.261
-177.357 203.282 91.6568
107.891 -298.491 67.8972
-229.592 159.38 11.2593
-181.505 227.887 30.6066
153.422 -274.245 115.187
-146.717 261.874 9.73076
-147.095 258.22 89.4434
-200.508 230.747 -7.04068
-261.066 155.38 -16.2618
315.51 -107.197 -75.2479
-257.621 171.139 40.2442
292.933 -135.298 -111.266
341.56 -56.1723 -73.272
-159.215 279.536 55.3438
217.723 -258.429 82.827
252.03 -235.589 90.913
-246.124 198.786 10.7917
-145.698 299.067 -9.75364
-237.811 224.038 -25.1381
322.756 -103.487 -116.451
-175.64 271.575 117.207
333.677 -136.52 -51.2865
-207.066 268.031 -25.2313
294.299 -177.272 -111.848
355.482 -102.163 -63.3802
325.499 -176.184 -62.4174
