Df: 2.2
kf: 1.13
n: 30
k: 1
a: 30

Rg: 133.172

X Y Z
0 0 0
19.1572 -45.0605 -34.6778
21.9066 -57.3123 -93.3492
10.1888 45.6668 -37.5597
53.1961 -76.7443 3.23647
45.3892 -47.468 55.0241
25.9586 -128.875 -8.61563
28.7065 -103.115 70.0263
48.9317 -4.51188 -102.392
47.7751 -108.382 -111.313
46.1103 -158.815 -78.8506
105.527 -150.606 -77.3428
-24.8384 -128.663 61.068
4.38574 -25.3635 92.8408
71.6859 -21.7743 102.44
-11.679 -186.135 49.9418
44.3889 -46.5246 -147.922
10.6962 69.92 17.3177
37.032 -180.945 84.5871
-2.15783 -57.8042 142.889
114.267 20.219 97.598
-37.7846 58.0738 -71.3919
13.8365 85.8707 75.0734
-56.9806 -165.971 95.3462
103.922 -53.2019 -144.568
45.4421 42.828 -139.09
-38.5362 -218.138 6.87766
79.431 2.16603 156.909
37.4362 44.8359 152.945
166.071 0.0320266 120.155
