Df: 2.2
kf: 1.13
n: 100
k: 0.8
a: 30

Rg: 230.189

X Y Z
0 0 0
-14.072 -42.0833 18.3023
-28.3547 -83.7579 37.361
-55.2815 -121.336 50.277
-89.0319 -118.936 16.2308
-12.8243 -14.7259 -43.8484
1.53552 -45.2163 -78.0264
9.44311 27.7134 -41.1899
6.80351 -2.76721 -99.8055
-31.1527 -98.8629 85.1591
-15.0528 -37.6349 -124.515
49.7948 52.1833 -32.417
67.8041 53.5309 12.0561
-23.07 -83.1031 -137.644
-123.268 -112.542 -16.7999
-145.518 -84.5212 15.1959
-67.2443 -167.171 42.5295
93.6136 18.0658 31.552
-139.224 -122.464 43.9138
96.0543 41.7417 -24.9988
-55.6847 -164.039 89.0114
-167.543 -83.1387 57.8221
-186.536 -41.3748 43.7129
-157.892 -164.672 30.7208
-129.196 -202.702 24.8629
-187.7 -163.201 -6.87266
-5.80698 -119.373 -163.921
-41.9459 -193.007 124.735
-226.587 -67.367 38.7859
35.0654 -94.2923 -161.822
122.864 -19.1758 39.3937
-213.867 -155.955 32.7102
45.4249 87.9745 36.8918
-163.202 -219.124 54.4929
-43.9466 -125.969 -192.309
-176.863 -232.881 10.5824
114.42 -12.7364 86.2042
102.893 -33.3765 127.979
101.833 59.8364 53.7252
-231.664 -135.757 72.4508
-58.9665 -228.022 152.81
150.763 -44.0817 85.3885
150.241 20.0029 34.9767
-242.174 -158.12 -5.99397
120.622 72.8805 2.03487
-236.643 -108.372 111.557
-21.9095 -168.567 -194.24
-266.616 -125.931 19.8997
-103.979 -243.233 159.628
131.704 50.2344 -55.9988
106.736 77.3027 98.165
-181.811 -263.368 54.0194
188.243 -65.9822 64.904
144.52 47.9254 101.817
-151.003 -291.732 30.5602
145.295 78.3148 45.1442
-41.9349 -266.848 175.315
213.037 -89.3801 31.1137
206.826 -22.1459 70.9887
131.595 116.469 18.8776
188.538 61.8412 32.3905
-199.29 -244.758 94.6663
173.585 39.8122 139.146
166.264 94.2323 85.2808
-262.578 -167.386 43.7577
221.924 -30.7394 115.735
111.948 157.982 32.8306
177.878 113.414 41.9223
214.495 45.4841 114.688
83.6573 187.908 8.17215
1.40318 -285.36 184.431
-83.6559 -289.81 169.306
-264.69 -144.47 -46.1275
148.192 154.173 -5.75831
-285.802 -111.119 61.3302
-70.7711 -322.073 136.184
-256.448 -155.263 -92.1663
-41.5879 -201.03 -223.615
-63.6895 -285.748 213.701
230.205 2.14681 149.704
-289.476 -166.24 -5.20114
-202.626 -292.393 99.5454
160.655 139.552 100.067
214.276 101.931 12.8138
-308.891 -115.132 -0.107098
135.944 174.461 78.2781
183.756 121.447 138.048
73.3387 210.171 -33.0817
-243.963 -174.891 -134.153
111.082 194.576 114.073
-222.021 -289.568 54.8474
-323.987 -82.0335 61.3262
-112.48 -328.192 169.351
-242.309 -272.343 117.636
267.382 -27.3155 130.762
88.3089 221.062 42.5693
-71.2658 -336.37 192.557
-182.028 -330.8 119.661
-83.0895 -220.53 -237.807
-268.133 -246.195 148.512
